,test_roc,test_prc
avg,0.6797319019992727,0.6838292772894234
1,0.7323131955484896,0.7342144685809481
2,0.6707903780068728,0.8094383626790329
3,0.48007246376811596,0.03462033803577984
4,0.6750415282392026,0.7453536564806522
5,0.8153248587570622,0.9479061251707717
6,0.7023809523809523,0.8371481367779128
7,0.7480916030534351,0.9733994099832997
8,0.5722811671087533,0.2147071321820402
9,0.710405859017394,0.9073824950733997
10,0.7343004769475359,0.7277822572038507
11,0.6572327044025157,0.3620907474576891
12,0.6726296958855098,0.9556669164361327
13,0.6463068181818182,0.37045552021744965
14,0.5303030303030303,0.16743367356856775
15,0.6785818076140657,0.8589478708299852
16,0.7257056668821374,0.8386542803816457
17,0.7153439153439154,0.9807021607761544
18,0.6338823529411765,0.24319818762686196
19,0.610587002096436,0.7826135222434011
20,0.6250933532486931,0.8283264959729433
21,0.7621428571428571,0.8749688337226551
22,0.729393115942029,0.8164701814016736
23,0.6037878787878788,0.10438622089792504
24,0.6531746031746032,0.6398306417228937
25,0.760685824680029,0.8805408372002861
26,0.8195697432338653,0.9827812549411094
27,0.6873385012919897,0.8443707592493701
