0.729 	0.715 	0.722 	0.696 	0.590 	0.632 	0.586 	0.667 	
0.737 	0.761 	0.751 	0.724 	0.587 	0.600 	0.616 	0.682 	
0.744 	0.758 	0.763 	0.733 	0.590 	0.646 	0.618 	0.693 	
0.774 	0.783 	0.767 	0.728 	0.611 	0.666 	0.612 	0.706 	
0.791 	0.803 	0.771 	0.721 	0.634 	0.689 	0.628 	0.720 	
0.799 	0.809 	0.772 	0.713 	0.631 	0.693 	0.606 	0.717 	
0.793 	0.825 	0.775 	0.715 	0.635 	0.682 	0.640 	0.724 	
0.788 	0.831 	0.767 	0.713 	0.635 	0.675 	0.614 	0.718 	
0.750 	0.828 	0.779 	0.723 	0.635 	0.682 	0.619 	0.717 	
0.718 	0.807 	0.780 	0.709 	0.647 	0.687 	0.620 	0.710 	
0.754 	0.817 	0.777 	0.719 	0.642 	0.684 	0.623 	0.716 	
0.768 	0.829 	0.778 	0.724 	0.641 	0.672 	0.602 	0.716 	
0.715 	0.795 	0.778 	0.707 	0.642 	0.678 	0.611 	0.704 	
0.744 	0.817 	0.779 	0.710 	0.646 	0.689 	0.625 	0.716 	
0.740 	0.789 	0.787 	0.722 	0.656 	0.682 	0.611 	0.713 	
0.733 	0.791 	0.791 	0.727 	0.647 	0.667 	0.623 	0.711 	
0.719 	0.801 	0.787 	0.724 	0.651 	0.691 	0.580 	0.707 	
0.727 	0.769 	0.784 	0.725 	0.655 	0.689 	0.603 	0.707 	
0.744 	0.785 	0.788 	0.730 	0.662 	0.674 	0.598 	0.712 	
0.731 	0.823 	0.792 	0.728 	0.661 	0.703 	0.598 	0.719 	
0.761 	0.840 	0.791 	0.733 	0.667 	0.694 	0.586 	0.725 	
0.710 	0.775 	0.789 	0.727 	0.659 	0.688 	0.600 	0.707 	
0.769 	0.836 	0.801 	0.723 	0.667 	0.702 	0.580 	0.725 	
0.758 	0.847 	0.802 	0.734 	0.670 	0.710 	0.596 	0.731 	
0.746 	0.810 	0.805 	0.745 	0.665 	0.708 	0.615 	0.728 	
0.715 	0.794 	0.812 	0.750 	0.668 	0.713 	0.597 	0.721 	
0.751 	0.795 	0.816 	0.748 	0.666 	0.704 	0.607 	0.727 	
0.765 	0.806 	0.820 	0.748 	0.664 	0.728 	0.591 	0.732 	
0.761 	0.832 	0.815 	0.742 	0.662 	0.704 	0.589 	0.729 	
0.760 	0.817 	0.815 	0.758 	0.662 	0.727 	0.594 	0.733 	
0.765 	0.810 	0.822 	0.753 	0.662 	0.742 	0.590 	0.735 	
0.767 	0.776 	0.828 	0.752 	0.660 	0.706 	0.585 	0.725 	
0.764 	0.792 	0.823 	0.762 	0.667 	0.701 	0.604 	0.730 	
0.764 	0.797 	0.827 	0.749 	0.668 	0.705 	0.575 	0.726 	
0.774 	0.795 	0.829 	0.753 	0.665 	0.693 	0.610 	0.731 	
0.764 	0.797 	0.830 	0.758 	0.668 	0.733 	0.602 	0.736 	
0.765 	0.810 	0.823 	0.755 	0.656 	0.719 	0.601 	0.733 	
0.751 	0.764 	0.824 	0.749 	0.664 	0.712 	0.635 	0.728 	
0.757 	0.800 	0.826 	0.752 	0.652 	0.732 	0.631 	0.736 	
0.771 	0.829 	0.830 	0.760 	0.662 	0.739 	0.606 	0.743 	
0.768 	0.810 	0.826 	0.747 	0.667 	0.728 	0.607 	0.736 	
0.780 	0.813 	0.831 	0.761 	0.666 	0.724 	0.639 	0.745 	
0.770 	0.774 	0.830 	0.758 	0.668 	0.727 	0.586 	0.730 	
0.759 	0.802 	0.831 	0.764 	0.671 	0.728 	0.620 	0.739 	
0.758 	0.803 	0.815 	0.739 	0.678 	0.745 	0.617 	0.736 	
0.778 	0.826 	0.834 	0.769 	0.672 	0.725 	0.584 	0.741 	
0.793 	0.826 	0.836 	0.756 	0.674 	0.738 	0.598 	0.746 	
0.792 	0.834 	0.832 	0.761 	0.667 	0.734 	0.599 	0.745 	
0.775 	0.810 	0.831 	0.771 	0.667 	0.728 	0.616 	0.743 	
0.768 	0.787 	0.836 	0.755 	0.677 	0.748 	0.619 	0.742 	
0.768 	0.802 	0.837 	0.771 	0.670 	0.730 	0.643 	0.746 	
0.751 	0.775 	0.832 	0.763 	0.662 	0.737 	0.601 	0.732 	
0.776 	0.813 	0.830 	0.765 	0.671 	0.753 	0.620 	0.747 	
0.790 	0.805 	0.840 	0.752 	0.674 	0.756 	0.610 	0.747 	
0.772 	0.803 	0.841 	0.754 	0.682 	0.747 	0.593 	0.741 	
0.768 	0.791 	0.838 	0.760 	0.678 	0.758 	0.633 	0.747 	
0.771 	0.780 	0.834 	0.754 	0.681 	0.752 	0.598 	0.739 	
0.773 	0.806 	0.843 	0.759 	0.673 	0.762 	0.647 	0.752 	
0.780 	0.794 	0.834 	0.774 	0.676 	0.762 	0.650 	0.753 	
0.770 	0.816 	0.842 	0.755 	0.673 	0.760 	0.637 	0.750 	
0.761 	0.827 	0.840 	0.772 	0.667 	0.753 	0.671 	0.756 	
0.753 	0.839 	0.836 	0.776 	0.668 	0.755 	0.654 	0.755 	
0.766 	0.833 	0.836 	0.770 	0.669 	0.753 	0.640 	0.752 	
0.767 	0.808 	0.833 	0.761 	0.664 	0.753 	0.655 	0.749 	
0.776 	0.825 	0.833 	0.756 	0.675 	0.742 	0.608 	0.745 	
0.774 	0.814 	0.842 	0.747 	0.673 	0.767 	0.608 	0.746 	
0.770 	0.811 	0.829 	0.759 	0.679 	0.743 	0.621 	0.745 	
0.778 	0.828 	0.835 	0.765 	0.675 	0.755 	0.633 	0.753 	
0.781 	0.819 	0.836 	0.757 	0.671 	0.741 	0.602 	0.744 	
