,test_roc,test_prc
avg,0.8472459936634271,0.5225736318686575
1,0.9110826210826211,0.8570814322243179
2,0.9307554722766375,0.7682539605534399
3,0.8989245283018868,0.7028955554848039
4,0.8046666666666666,0.34236972024301593
5,0.7586866368724081,0.5587639525785023
6,0.8362656846699399,0.5210292313499084
7,0.8970588235294117,0.39888696929896117
8,0.7592236404965902,0.5187527516254457
9,0.7807926829268294,0.21424165001454393
10,0.865881809787627,0.42105777676387895
11,0.8626376026559497,0.5735688863014944
12,0.8609757546945567,0.3939816959855775
